Below is a curated “last‑12‑months” (≈ **Feb 28, 2025 → Feb 28, 2026**, Asia/Taipei) paper scout for **AI Safety × NLP/Speech** across your 8 topics, prioritizing **arXiv + top venues** (NeurIPS/ICLR/ICML/ACL/EMNLP/Interspeech + workshops).

Notes:

* “Speech LLM / Audio LLM / LALM / ALLM” naming varies; I’m grouping by **end‑to‑end speech/audio ↔ text models** and **speech‑enabled agent stacks**.
* Where a topic is still sparse, I still give you the best matches in-window and call out gaps.

---

## 1) Speech jailbreak / audio prompt injection (5–10)

| Title                                                                                                                       |                        Venue / Date | Link                               | 2‑sentence summary                                                                                                                                                                                                                                                | Method type | Why it matters for AI safety                                                                                                                  | Limitations / gaps                                                                                                                                    |
| --------------------------------------------------------------------------------------------------------------------------- | ----------------------------------: | ---------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------- | --------------------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------- |
| AudioJailbreak: Jailbreak Attacks against End-to-End Large Audio-Language Models                                            |                arXiv (May 20, 2025) | arXiv ([arXiv][1])                 | Proposes an audio jailbreak emphasizing **asynchrony**, **universality**, **stealth**, and **over‑the‑air robustness** for end‑to‑end audio‑language models. Shows many text jailbreaks don’t transfer cleanly via TTS, motivating audio-native threat models.    | attack      | Demonstrates **realistic “played audio” jailbreaks** that don’t require full prompt control—closer to real world voice assistant abuse.       | Primarily targets specific model families and controlled setups; defense implications need systematic head‑to‑head comparisons across architectures.  |
| When Good Sounds Go Adversarial: Jailbreaking Audio-Language Models with Benign Inputs (WhisperInject)                      | arXiv (Aug 5, 2025; v3 Feb 4, 2026) | arXiv ([arXiv][2])                 | Introduces a two‑stage adversarial audio pipeline: first elicit a harmful “native” response, then **inject** it into benign carrier audio via imperceptible perturbations. Evaluates across multiple audio-language models with automated + human safety checks.  | attack      | Makes the case that **benign-sounding audio can carry malicious intent**, stressing deployment risk for always-on audio interfaces.           | Assumes attacker can craft/optimize adversarial audio; real-device/channel robustness and detection at scale remain open.                             |
| Now You Hear Me: Audio Narrative Attacks Against Large Audio‑Language Models                                                |                arXiv (Jan 30, 2026) | arXiv ([arXiv][3])                 | Builds “text‑to‑audio jailbreaks” that embed disallowed directives in **narrative-style speech**, leveraging delivery/structure rather than only noise perturbations. Reports strong jailbreak success on modern models under this stylized format.               | attack      | Shows **content framing + prosody-style delivery** can change safety outcomes—guardrails tuned on text prompts may fail for speech.           | Evaluation depends on TTS generation quality and chosen prompts; needs broader coverage (languages, accents, live streaming).                         |
| Breaking Audio Large Language Models by Attacking Only the Encoder: A Universal Targeted Latent‑Space Audio Attack (U‑TLSA) |                arXiv (Dec 29, 2025) | arXiv ([arXiv][4])                 | Demonstrates that attacking only the **audio encoder** can yield universal targeted behavior like command injection / behavioral hijacking. Uses a single perturbation that generalizes across many carriers/speakers.                                            | attack      | Highlights that **encoder access** (or vulnerabilities) can compromise “downstream aligned” systems—important for modular speech stacks.      | Threat model may require gradient/encoder access; practical feasibility varies by deployment and model exposure.                                      |
| Universal Acoustic Adversarial Attacks for Flexible Control of Speech‑LLMs                                                  |      Findings EMNLP 2025 (Nov 2025) | ACL Anthology ([ACL Anthology][5]) | Presents universal acoustic adversarial signals that steer speech‑LLMs toward attacker objectives with flexible control. Evaluates on speech‑LLM setups that combine speech encoders and LLMs.                                                                    | attack      | Expands classic adversarial audio into the **speech→LLM** era, showing safety/alignment can be bypassed at the acoustic layer.                | Generalization across microphones/rooms and defenses (denoising, separation, robust encoders) needs deeper study.                                     |
| Defending Speech-enabled LLMs Against Adversarial Jailbreak Threats                                                         |         Interspeech 2025 (Aug 2025) | ISCA PDF ([ISCA Archive][6])       | Proposes adversarial training using synthetic harmful speech to harden speech‑enabled LLMs against perturbation-based jailbreak threats. Shows small amounts of carefully curated harmful speech can substantially improve robustness.                            | defense     | One of the few **speech-domain defenses** positioned for practical adoption (training recipe + synthetic data).                               | Adversarial training is expensive and can overfit to attack families; needs transfer tests to novel audio jailbreak styles (narrative/compositional). |
| SPIRIT: Patching Speech Language Models against Jailbreak Attacks                                                           |               EMNLP 2025 (Nov 2025) | ACL Anthology ([ACL Anthology][7]) | Shows SLMs can be highly vulnerable to jailbreaks, then proposes **post‑hoc activation patching** at inference to block attacks with minimal utility loss. Reports large robustness gains without retraining.                                                     | defense     | Strong example of **safety intervention without full RLHF retraining**, attractive for deployed voice assistants.                             | Requires identifying/patching the right internal states; may be brittle across model updates or unseen attack distributions.                          |
| JALMBench: Benchmarking Jailbreak Vulnerabilities in Audio Language Models                                                  |                arXiv (May 23, 2025) | arXiv ([arXiv][8])                 | Introduces a large benchmark spanning many ALMs, attacks (text‑transferred + audio‑originated), and defenses; includes extensive analysis over voices and topics. Provides a unifying evaluation scaffold for audio jailbreak research.                           | eval        | Helps prevent “single‑model cherry-picking” and anchors progress on audio jailbreak robustness.                                               | Benchmark scope still bounded by curated attacks and model list; needs more real-world over-the-air, multi-speaker, and streaming scenarios.          |
| Audio Jailbreak: An Open Comprehensive Benchmark for Jailbreaking Large Audio‑Language Models (AJailBench)                  |                arXiv (May 21, 2025) | arXiv ([arXiv][9])                 | Builds a jailbreak benchmark for audio prompts (TTS‑converted from text jailbreaks) and adds a perturbation toolkit to create harder variants under semantic constraints. Evaluates leading audio‑language models and highlights fragility to subtle distortions. | eval        | Establishes repeatable measurement for **speech jailbreak regression testing** (including “perturbed but semantically same” audio).           | Reliance on TTS for many prompts may miss human speech variability; benchmark may lag new jailbreak styles (narrative/compositional).                 |
| Speech‑Audio Compositional Attacks on Multimodal LLMs + SALMONN‑Guard (SACRED‑Bench)                                        |                arXiv (Nov 13, 2025) | arXiv ([arXiv][10])                | Introduces compositional attacks via **speech overlap**, **speech+non‑speech mixtures**, and multi-speaker formats; proposes SALMONN‑Guard to reduce attack success. Shows even strong proprietary models can be vulnerable under these audio compositions.       | attack      | Moves beyond “single clean utterance” and probes **realistic acoustic scenes** (overlap/background audio) that speech assistants must handle. | Attack space is vast; guard model evaluation across languages, accents, and streaming latency constraints remains limited.                            |

---

## 2) Multimodal deception / scheming in speech‑text models (5–10)

*(This is still relatively sparse in “speech‑native” form; most work is either (a) manipulation attacks in speech, (b) red‑teaming of voice agents, or (c) deception evaluation/detection in general agents.)*

| Title                                                                                                          |            Venue / Date | Link                                | 2‑sentence summary                                                                                                                                                                                                                                                                               | Method type | Why it matters for AI safety                                                                                                  | Limitations / gaps                                                                                                                               |
| -------------------------------------------------------------------------------------------------------------- | ----------------------: | ----------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | ----------- | ----------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------ |
